Index, etap, seq0p, pp, ep, etas, seq0s, ps
1, 13547980860.0, 29.7, 0.861, 76.0, 31555031599850.0, 31.7, 1.573
2, 38952085930.0, 39.7, 0.301, 64.23, 16962170848850.0, 21.74, 0.565
3, 42266481830.0, 22.2, 0.703, 86.43, 5962847142220.0, 26.07, 1.701
4, 17554175110.0, 32.19, 0.559, 69.03, 39972628440860.0, 36.11, 1.161
5, 27377748580.0, 23.32, 0.447, 73.21, 33803953342440.0, 34.22, 1.967
6, 50052937350.0, 28.35, 0.597, 71.6, 36653278141020.0, 37.48, 1.559
7, 28438130260.0, 25.81, 0.593, 63.01, 23095787887570.0, 28.6, 1.259
8, 6323151850.0, 35.81, 0.755, 81.23, 27983267955780.0, 38.59, 0.861
9, 8935841740.0, 20.38, 0.644, 83.96, 15602543606760.0, 36.62, 1.815
10, 31788639420.0, 30.39, 0.783, 71.36, 30161924285890.0, 26.82, 1.041
11, 46833721850.0, 27.88, 0.397, 79.39, 41346492805480.0, 20.99, 1.412
12, 24762521020.0, 37.87, 0.952, 61.16, 7303748981950.0, 31.19, 0.732
13, 20165448620.0, 26.46, 0.664, 66.12, 13314209175110.0, 39.3, 1.514
14, 45618407190.0, 36.46, 0.497, 77.91, 37631807727810.0, 29.14, 0.601
15, 35602698410.0, 23.95, 0.901, 70.93, 24174657497410.0, 23.67, 1.759
16, 10934169460.0, 33.95, 0.362, 88.34, 19329631562230.0, 33.51, 1.127
17, 12977370740.0, 24.45, 0.822, 62.62, 38468274307250.0, 29.69, 0.529
18, 35044497840.0, 34.44, 0.617, 81.91, 4428515150700.0, 40.0, 1.583
19, 43575297260.0, 26.94, 0.913, 74.93, 17890486392970.0, 32.81, 1.245
20, 20723559970.0, 36.94, 0.424, 84.84, 32448030509950.0, 23.12, 1.643
21, 22721973010.0, 28.65, 0.492, 87.93, 26442428226470.0, 27.48, 0.931
22, 47389271280.0, 38.65, 0.681, 67.82, 21600314140320.0, 37.21, 1.94
23, 33829279490.0, 21.14, 0.367, 75.86, 10420564713480.0, 30.6, 0.795
24, 8380202030.0, 31.13, 0.884, 65.13, 34736403179170.0, 20.34, 1.335
25, 5764974640.0, 25.02, 0.339, 69.68, 8232342907190.0, 24.77, 0.991
26, 30481308170.0, 35.01, 0.833, 89.77, 42239212646480.0, 34.92, 1.904
27, 50739780440.0, 22.5, 0.521, 66.98, 28658441505430.0, 37.89, 0.737
28, 25334661310.0, 32.51, 0.731, 77.7, 14067339863780.0, 28.04, 1.369
29, 18109748610.0, 21.75, 0.975, 80.0, 20221739602090.0, 22.4, 0.681
30, 40225909740.0, 31.75, 0.463, 60.73, 25106235980990.0, 32.29, 1.455
31, 38396423210.0, 29.25, 0.761, 82.93, 36091246089940.0, 35.53, 1.092
32, 15588644250.0, 39.24, 0.577, 73.03, 11818456757070.0, 25.41, 1.773
33, 15383297870.0, 22.05, 0.403, 65.27, 28610739555360.0, 27.67, 1.216
34, 37128374690.0, 32.06, 0.937, 75.05, 23702299504280.0, 37.64, 1.66
35, 41122917850.0, 29.57, 0.636, 68.19, 10158905010220.0, 34.54, 0.511
36, 18686133270.0, 39.56, 0.798, 87.36, 34408361892700.0, 24.52, 1.612
37, 26241609780.0, 25.94, 0.905, 84.94, 40542878093720.0, 25.12, 0.824
38, 51329437780.0, 35.94, 0.345, 74.1, 6588613838550.0, 35.19, 1.317
39, 30263099100.0, 23.45, 0.66, 82.25, 17535061211590.0, 32.0, 0.948
40, 4486577290.0, 33.45, 0.515, 62.03, 32178156681060.0, 22.06, 1.91
41, 7837408010.0, 27.7, 0.708, 72.2, 19950643329620.0, 22.74, 0.766
42, 32875475840.0, 37.7, 0.541, 83.03, 24749662513730.0, 32.56, 1.352
43, 48713798100.0, 20.21, 0.858, 60.13, 38250195007320.0, 39.62, 1.008
44, 22894042080.0, 30.21, 0.319, 80.33, 13891836941240.0, 29.44, 1.874
45, 22038470750.0, 24.13, 0.6, 76.89, 7905524353980.0, 20.05, 1.063
46, 43733787750.0, 34.13, 0.739, 67.12, 41978701229100.0, 30.27, 1.79
47, 34514241860.0, 26.63, 0.44, 89.19, 30761577472690.0, 36.92, 0.663
48, 12034223330.0, 36.64, 0.995, 70.05, 16236875953670.0, 27.14, 1.484
49, 11104524210.0, 27.39, 0.536, 80.86, 35375517539980.0, 30.91, 1.683
